,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
135,Singapore,Asia,Desechos,3299999.952,1629259996,752709994.9,0.202545939,0.438415854
136,South Korea,Asia,Desechos,9430000.305,1629259996,752709994.9,0.578790391,1.252806575
137,Sri Lanka,Asia,Desechos,3450000.048,1629259996,752709994.9,0.211752578,0.45834386
138,Syria,Asia,Desechos,6730000.019,1629259996,752709994.9,0.413070967,0.894102651
139,Tajikistan,Asia,Desechos,889999.9857,1629259996,752709994.9,0.054626026,0.118239427
140,Thailand,Asia,Desechos,12789999.96,1629259996,752709994.9,0.785018965,1.699193587
141,Timor,Asia,Desechos,59999.99866,1629259996,752709994.9,0.003682653,0.007971197
142,Turkey,Asia,Desechos,16979999.54,1629259996,752709994.9,1.042190908,2.255848821
143,Turkmenistan,Asia,Desechos,1409999.967,1629259996,752709994.9,0.086542355,0.187323136
144,United Arab Emirates,Asia,Desechos,21239999.77,1629259996,752709994.9,1.303659319,2.821803871
145,Uzbekistan,Asia,Desechos,7159999.847,1629259996,752709994.9,0.439463306,0.951229543
146,Vietnam,Asia,Desechos,20629999.16,1629259996,752709994.9,1.266218971,2.740763282
147,Yemen,Asia,Desechos,3069999.933,1629259996,752709994.9,0.188429099,0.407859595
148,Albania,Europe,Desechos,990000.0095,1629259996,276829997.6,0.060763783,0.357620207
149,Andorra,Europe,Desechos,50000.00075,1629259996,276829997.6,0.003068878,0.018061627
150,Austria,Europe,Desechos,1409999.967,1629259996,276829997.6,0.086542355,0.509337853
151,Belarus,Europe,Desechos,6570000.172,1629259996,276829997.6,0.403250567,2.373297775
152,Belgium,Europe,Desechos,1059999.943,1629259996,276829997.6,0.065060208,0.38290646
153,Bosnia and Herzegovina,Europe,Desechos,1110000.014,1629259996,276829997.6,0.06812909,0.400968112
154,Bulgaria,Europe,Desechos,3890000.105,1629259996,276829997.6,0.238758707,1.405194574
155,Croatia,Europe,Desechos,1879999.995,1629259996,276829997.6,0.115389809,0.679117152
156,Cyprus,Europe,Desechos,550000.0119,1629259996,276829997.6,0.033757658,0.198677895
157,Czechia,Europe,Desechos,4670000.076,1629259996,276829997.6,0.286633201,1.686955936
158,Denmark,Europe,Desechos,850000.0238,1629259996,276829997.6,0.052170926,0.307047658
159,Estonia,Europe,Desechos,239999.9946,1629259996,276829997.6,0.014730614,0.086695805
160,Finland,Europe,Desechos,1820000.052,1629259996,276829997.6,0.111707159,0.657443221
161,France,Europe,Desechos,14689999.58,1629259996,276829997.6,0.901636302,5.306505693
162,Germany,Europe,Desechos,8199999.809,1629259996,276829997.6,0.503295964,2.962106665
163,Greece,Europe,Desechos,4610000.134,1629259996,276829997.6,0.282950551,1.665282005
164,Hungary,Europe,Desechos,3220000.029,1629259996,276829997.6,0.197635739,1.163168752
165,Iceland,Europe,Desechos,219999.9988,1629259996,276829997.6,0.013503063,0.079471156
166,Ireland,Europe,Desechos,899999.9762,1629259996,276829997.6,0.055239801,0.325109267
167,Italy,Europe,Desechos,16739999.77,1629259996,276829997.6,1.027460308,6.047032445
168,Latvia,Europe,Desechos,670000.0167,1629259996,276829997.6,0.041122965,0.2420258
169,Lithuania,Europe,Desechos,899999.9762,1629259996,276829997.6,0.055239801,0.325109267
170,Luxembourg,Europe,Desechos,79999.99821,1629259996,276829997.6,0.004910205,0.028898602
171,Malta,Europe,Desechos,170000.0018,1629259996,276829997.6,0.010434185,0.06140953
172,Moldova,Europe,Desechos,1820000.052,1629259996,276829997.6,0.111707159,0.657443221
173,Montenegro,Europe,Desechos,289999.9917,1629259996,276829997.6,0.017799491,0.10475743
174,Netherlands,Europe,Desechos,2759999.99,1629259996,276829997.6,0.16940206,0.997001775
175,North Macedonia,Europe,Desechos,1289999.962,1629259996,276829997.6,0.079177048,0.465989948
176,Norway,Europe,Desechos,1039999.962,1629259996,276829997.6,0.063832658,0.375681816
177,Poland,Europe,Desechos,9930000.305,1629259996,276829997.6,0.60947917,3.587039119
178,Portugal,Europe,Desechos,6320000.172,1629259996,276829997.6,0.387906177,2.282989642
179,Romania,Europe,Desechos,5639999.866,1629259996,276829997.6,0.346169419,2.037351413
180,Russia,Europe,Desechos,117949996.9,1629259996,276829997.6,7.239482786,42.60737564
181,Serbia,Europe,Desechos,5800000.191,1629259996,276829997.6,0.355989848,2.095148734
182,Slovakia,Europe,Desechos,1500000,1629259996,276829997.6,0.092066337,0.541848793
183,Slovenia,Europe,Desechos,500000,1629259996,276829997.6,0.030688779,0.180616264
184,Spain,Europe,Desechos,13140000.34,1629259996,276829997.6,0.806501134,4.746595549
185,Sweden,Europe,Desechos,990000.0095,1629259996,276829997.6,0.060763783,0.357620207
186,Switzerland,Europe,Desechos,779999.9714,1629259996,276829997.6,0.047874494,0.281761362
187,Ukraine,Europe,Desechos,14579999.92,1629259996,276829997.6,0.894884792,5.266770239
188,United Kingdom,Europe,Desechos,17010000.23,1629259996,276829997.6,1.044032277,6.144565393
189,Algeria,Africa,Desechos,14739999.77,1629259996,186380000.3,0.904705192,7.908573747
190,Angola,Africa,Desechos,1809999.943,1629259996,186380000.3,0.111093377,0.97113421
191,Benin,Africa,Desechos,250000,1629259996,186380000.3,0.01534439,0.134134564
192,Botswana,Africa,Desechos,259999.9905,1629259996,186380000.3,0.015958165,0.139499941
193,Burkina Faso,Africa,Desechos,1159999.967,1629259996,186380000.3,0.071197965,0.622384357
194,Burundi,Africa,Desechos,430000.0072,1629259996,186380000.3,0.02639235,0.230711453
195,Cameroon,Africa,Desechos,4039999.962,1629259996,186380000.3,0.247965332,2.167614527
196,Cape Verde,Africa,Desechos,39999.99911,1629259996,186380000.3,0.002455102,0.02146153
197,Central African Republic,Africa,Desechos,3039999.962,1629259996,186380000.3,0.186587774,1.631076273
198,Chad,Africa,Desechos,2329999.924,1629259996,186380000.3,0.143009706,1.250134092
199,Comoros,Africa,Desechos,9999.999776,1629259996,186380000.3,0.000613776,0.005365382
200,Congo,Africa,Desechos,730000.0191,1629259996,186380000.3,0.044805619,0.391672936
201,Cote d'Ivoire,Africa,Desechos,2250000,1629259996,186380000.3,0.138099506,1.207211072
202,Democratic Republic of Congo,Africa,Desechos,15539999.96,1629259996,186380000.3,0.95380725,8.337804453
203,Djibouti,Africa,Desechos,200000.003,1629259996,186380000.3,0.012275512,0.107307652
204,Egypt,Africa,Desechos,28540000.92,1629259996,186380000.3,1.751715563,15.31280227
205,Equatorial Guinea,Africa,Desechos,230000.0042,1629259996,186380000.3,0.014116839,0.123403801
206,Eritrea,Africa,Desechos,629999.9952,1629259996,186380000.3,0.038667861,0.338019098
207,Eswatini,Africa,Desechos,600000.0238,1629259996,186380000.3,0.036826536,0.321922965
208,Ethiopia,Africa,Desechos,4980000.019,1629259996,186380000.3,0.30566024,2.671960517
209,Gabon,Africa,Desechos,740000.0095,1629259996,186380000.3,0.045419394,0.397038313
210,Gambia,Africa,Desechos,389999.9857,1629259996,186380000.3,0.023937247,0.209249912
211,Ghana,Africa,Desechos,3730000.019,1629259996,186380000.3,0.228938293,2.001287699
212,Guinea,Africa,Desechos,2150000.095,1629259996,186380000.3,0.131961756,1.153557298
213,Guinea-Bissau,Africa,Desechos,109999.9994,1629259996,186380000.3,0.006751531,0.059019208
214,Kenya,Africa,Desechos,1389999.986,1629259996,186380000.3,0.085314805,0.745788166
215,Lesotho,Africa,Desechos,259999.9905,1629259996,186380000.3,0.015958165,0.139499941
216,Liberia,Africa,Desechos,129999.9952,1629259996,186380000.3,0.007979082,0.069749971
217,Libya,Africa,Desechos,1690000.057,1629259996,186380000.3,0.103728077,0.906749681
218,Madagascar,Africa,Desechos,939999.9976,1629259996,186380000.3,0.057694904,0.504345958
219,Malawi,Africa,Desechos,449999.9881,1629259996,186380000.3,0.0276199,0.241442208
220,Mali,Africa,Desechos,620000.0048,1629259996,186380000.3,0.038054086,0.33265372
221,Mauritania,Africa,Desechos,159999.9964,1629259996,186380000.3,0.009820409,0.085846119
222,Mauritius,Africa,Desechos,1940000.057,1629259996,186380000.3,0.119072466,1.040884244
223,Morocco,Africa,Desechos,4869999.886,1629259996,186380000.3,0.298908701,2.612941237
224,Mozambique,Africa,Desechos,4110000.134,1629259996,186380000.3,0.252261772,2.205172297
225,Namibia,Africa,Desechos,540000.0215,1629259996,186380000.3,0.033143883,0.289730669
226,Niger,Africa,Desechos,6920000.076,1629259996,186380000.3,0.424732706,3.712844761
227,Nigeria,Africa,Desechos,14449999.81,1629259996,186380000.3,0.886905702,7.752977674
228,Rwanda,Africa,Desechos,319999.9928,1629259996,186380000.3,0.019640818,0.171692238
229,Sao Tome and Principe,Africa,Desechos,9999.999776,1629259996,186380000.3,0.000613776,0.005365382
230,Senegal,Africa,Desechos,4190000.057,1629259996,186380000.3,0.257171972,2.248095317
231,Seychelles,Africa,Desechos,90000.00358,1629259996,186380000.3,0.00552398,0.048288445
232,Sierra Leone,Africa,Desechos,1450000.048,1629259996,186380000.3,0.088997462,0.777980494
233,Somalia,Africa,Desechos,2509999.99,1629259996,186380000.3,0.15405767,1.346711013
234,South Africa,Africa,Desechos,25239999.77,1629259996,186380000.3,1.549169551,13.54222542
235,South Sudan,Africa,Desechos,2619999.886,1629259996,186380000.3,0.160809195,1.405730165
236,Sudan,Africa,Desechos,3819999.933,1629259996,186380000.3,0.234462268,2.049576096
237,Tanzania,Africa,Desechos,6219999.79,1629259996,186380000.3,0.381768398,3.33726783
238,Togo,Africa,Desechos,980000.0191,1629259996,186380000.3,0.060150008,0.5258075
239,Tunisia,Africa,Desechos,3190000.057,1629259996,186380000.3,0.195794414,1.711557062
240,Uganda,Africa,Desechos,1990000.01,1629259996,186380000.3,0.122141341,1.067711131
241,Zambia,Africa,Desechos,3710000.038,1629259996,186380000.3,0.227710743,1.990556944
242,Zimbabwe,Africa,Desechos,2640000.105,1629259996,186380000.3,0.16203676,1.416461048
243,Antigua and Barbuda,North America,Desechos,189999.9976,1629259996,228000003.8,0.011661736,0.083333331
244,Bahamas,North America,Desechos,209999.9934,1629259996,228000003.8,0.012889287,0.092105259
245,Barbados,North America,Desechos,2289999.962,1629259996,228000003.8,0.140554606,1.004385931
246,Belize,North America,Desechos,239999.9946,1629259996,228000003.8,0.014730614,0.105263154
247,Canada,North America,Desechos,18639999.39,1629259996,228000003.8,1.144077645,8.175438193
248,Costa Rica,North America,Desechos,2119999.886,1629259996,228000003.8,0.130120416,0.929824496
249,Cuba,North America,Desechos,3170000.076,1629259996,228000003.8,0.194566864,1.390350888
250,Dominica,North America,Desechos,29999.99933,1629259996,228000003.8,0.001841327,0.013157894
251,Dominican Republic,North America,Desechos,2720000.029,1629259996,228000003.8,0.16694696,1.192982449
252,El Salvador,North America,Desechos,2119999.886,1629259996,228000003.8,0.130120416,0.929824496
253,Grenada,North America,Desechos,2029999.971,1629259996,228000003.8,0.124596441,0.89035085
254,Guatemala,North America,Desechos,1980000.019,1629259996,228000003.8,0.121527566,0.868421047
255,Haiti,North America,Desechos,1490000.01,1629259996,228000003.8,0.091452562,0.653508765
256,Honduras,North America,Desechos,2970000.029,1629259996,228000003.8,0.182291349,1.30263157
257,Jamaica,North America,Desechos,540000.0215,1629259996,228000003.8,0.033143883,0.236842111
258,Mexico,North America,Desechos,47599998.47,1629259996,228000003.8,2.92157167,20.87719197
259,Nicaragua,North America,Desechos,1070000.052,1629259996,228000003.8,0.06567399,0.469298261
260,Panama,North America,Desechos,2589999.914,1629259996,228000003.8,0.15896787,1.135964856
261,Saint Kitts and Nevis,North America,Desechos,79999.99821,1629259996,228000003.8,0.004910205,0.035087718
262,Saint Lucia,North America,Desechos,259999.9905,1629259996,228000003.8,0.015958165,0.114035082
263,Saint Vincent and the Grenadines,North America,Desechos,59999.99866,1629259996,228000003.8,0.003682653,0.026315788
264,Trinidad and Tobago,North America,Desechos,1250000,1629259996,228000003.8,0.076721948,0.548245605
265,United States,North America,Desechos,134350006.1,1629259996,228000003.8,8.2460753,58.92544029
266,Argentina,South America,Desechos,21979999.54,1629259996,163329999.7,1.349078698,13.45741724
267,Bolivia,South America,Desechos,3029999.971,1629259996,163329999.7,0.185973999,1.855139887
268,Brazil,South America,Desechos,70889999.39,1629259996,163329999.7,4.351055054,43.4029263
269,Chile,South America,Desechos,5079999.924,1629259996,163329999.7,0.31179799,3.110267516
270,Colombia,South America,Desechos,17409999.85,1629259996,163329999.7,1.068583276,10.65940114
271,Ecuador,South America,Desechos,12220000.27,1629259996,163329999.7,0.750033776,7.48178552
272,Guyana,South America,Desechos,159999.9964,1629259996,163329999.7,0.009820409,0.097961181
273,Paraguay,South America,Desechos,7820000.172,1629259996,163329999.7,0.479972515,4.787852927
274,Peru,South America,Desechos,11560000.42,1629259996,163329999.7,0.709524597,7.077695733
275,Suriname,South America,Desechos,100000.0015,1629259996,163329999.7,0.006137756,0.06122574
276,Uruguay,South America,Desechos,2029999.971,1629259996,163329999.7,0.124596441,1.242882493
277,Venezuela,South America,Desechos,11050000.19,1629259996,163329999.7,0.678222028,6.765444322
278,Australia,Oceania,Desechos,12399999.62,1629259996,22009999.72,0.761081697,56.33802714
279,Cook Islands,Oceania,Desechos,,1629259996,22009999.72,,
280,Fiji,Oceania,Desechos,129999.9952,1629259996,22009999.72,0.007979082,0.590640604
281,Kiribati,Oceania,Desechos,19999.99955,1629259996,22009999.72,0.001227551,0.090867786
282,Marshall Islands,Oceania,Desechos,29999.99933,1629259996,22009999.72,0.001841327,0.13630168
283,Micronesia (country),Oceania,Desechos,9999.999776,1629259996,22009999.72,0.000613776,0.045433893
284,New Zealand,Oceania,Desechos,3920000.076,1629259996,22009999.72,0.240600032,17.81008689
285,Niue,Oceania,Desechos,,1629259996,22009999.72,,
286,Palau,Oceania,Desechos,19999.99955,1629259996,22009999.72,0.001227551,0.090867786
287,Papua New Guinea,Oceania,Desechos,4730000.019,1629259996,22009999.72,0.290315851,21.49023207
288,Samoa,Oceania,Desechos,150000.006,1629259996,22009999.72,0.009206634,0.681508441
